id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
1306,"Favorit, Novxani kəndi",favorit-novxani,A,"Favorit, Novxanı kəndi",2,40.49658,49.8582,1,0,0,0,0,,,,
1307,"Araz Market, Masazır kəndi",araz-market-masazir-kendi,A,"Araz Market, Masazır kəndi",2,40.45761,49.76111,1,0,0,0,0,,,,
1308,BazarStore,bazarstore,A,"BazarStore, N. Nərimanov prospekti",20,40.68202,46.36307,1,0,0,0,0,,,,
1309,"Araz Market, Bakı",araz-market-baki,A,"Araz Market, Bakı rayonu, Gəncə prospekti 2942 ""Q"" məhəllə",1,40.36267,49.96146,1,0,0,0,0,,,,
1310,"Araz Market, Bakı 3",araz-market-baki-3,A,"Araz Market, Bakı rayonu, Məhəmməd Hadi küçəsi 51M",1,40.39408,49.96106,1,0,0,0,0,,,,
1311,"Araz Market, Bakı 4",araz-market-baki-4,A,"Araz Market, Bakı rayonu, Babək prospekti, 10 D",1,40.38845,49.87307,1,0,0,0,0,,,,
1312,"Araz Market, Bakı 5",araz-market-baki-5,A,"Araz Market, Bakı rayon Əhmədli qəsəbəsi Gəncə prospekti",1,40.3626,49.96091,1,0,0,0,0,,,,
1313,"Ballı Market, Şıxəkəran kəndi",balli-market,A,"Ballı Market, Şıxəkəran kəndi",41,38.702708,48.816702,1,0,0,0,0,,,,
1314,Halal Market,halal-market,A,"Halal Market, H.Həmidov küçəsi",24,40.04443,48.93712,1,0,0,0,0,,,,
1315,Ekomart,ekomart-sahil,A,"Ekomart, H.Z.Tağıyev küçəsi",25,41.45965,48.78827,1,0,0,0,0,,,,
1316,"Araz Market, Qara Qarayev",araz-market-gara-garayev,A,"Araz Market, Bakı rayonu, Tofiq Abbasov küçəsi 38, bina 7",1,40.41971,49.93176,1,0,0,0,0,,,,
1317,Al Market,al-market,A,"Al Market, Heydər Əliyev küçəsi 171",34,41.09657,45.35235,1,0,0,0,0,,,,
1318,Oba Market,oba-market,A,"Oba Market, M. Hüseyn küçəsi yeni yaşayış massivi",15,39.20531,48.51054,1,0,0,0,0,,,,
1319,Ay İşiği Market,ay-ishigi-market,A,"Ay İşiği Market, Astara yolu 20 yanvar küçəsi",51,39.58093,48.97028,1,0,0,0,0,,,,
1320,Aran Market,aran-market,A,"Aran Market, H. Əliyev küçəsi 42",13,39.46178,48.56081,1,0,0,0,0,,,,
1321,"Kijəbə TM, Kijəbə qəsəbəsi",kijaba,A,"Kijəbə TM, Kijəbə qəsəbəsi",8,38.53287,48.80613,1,0,0,0,0,,,,
1322,"Xaldan Kəndi Market, Xaldan qəsəbəsi",xaldan-kandi-market,A,"Xaldan Kəndi Market, Xaldan qəsəbəsi",67,40.71416,47.22855,1,0,0,0,0,,,,
1323,Əliinşaat Market,alinshaat-market,A,"Əliinşaat Market, AZQRES qəsəbəsi, Naxçıvan küçəsi",43,40.77274,47.04847,1,0,0,0,0,,,,
1324,"Rahat Market, Dondar Quşçu kəndi",rahat-market-dondar,A,"Rahat Market, Dondar Quşçu kəndi",64,40.99507,45.61771,1,0,0,0,0,,,,
1325,Ailəm Market,ailam-market,A,"Ailəm Market, Hezi Aslanov küçəsi",64,40.99103,45.61577,1,0,0,0,0,,,,
1326,"Grand Market, Aşağı Öysüzlü  kəndi",grand-market-ashagi-oysuzlu,A,"Grand Market, Aşağı Öysüzlü  kəndi",64,40.99435,45.61891,1,0,0,0,0,,,,
1327,Tural Market,tural-market,A,"Tural Market, Bakı prospekti 76",67,40.61892,47.15164,1,0,0,0,0,,,,
1328,"Vasif Market, Təzəkənd kəndi",vasif-market,A,"Vasif Market, Təzəkənd kəndi",63,40.41797,46.94637,1,0,0,0,0,,,,
1329,"Oba Market, Zəyəm qəsəbəsi",oba-market-zayam,A,"Oba Market, Zəyəm qəsəbəsi",60,40.90568,46.18271,1,0,0,0,0,,,,
1330,Asan,asan,A,"Asan, H. Əliyev prospekti 159",10,41.70801,46.42172,1,0,0,0,0,,,,
1331,"Ay İşığı, Şiləvar kəndi",ay-ishigi,A,"Ay İşığı, Şaqlaser, Şiləvar kəndi",41,38.85674,48.74895,1,0,0,0,0,,,,
1332,Qala Market,qala-market,A,"Qala Market, H. Əliyev prospekti 15",21,40.59917,46.78228,1,0,0,0,0,,,,
